17	08	09	29	28	19	07
13	05	04	23	21	10	12
31	06	07	29	24	15	27
15	01	17	18	08	02	05
05	07	15	14	20	24	18
26	27	17	01	11	22	15
10	27	11	21	22	29	30
16	10	05	18	25	24	11
08	19	24	13	16	12	09
15	21	11	22	31	12	30
17	16	09	22	24	13	27
22	09	16	13	07	06	01
10	23	05	03	19	17	15
19	07	29	17	21	04	14
21	17	16	20	29	12	22
05	31	08	26	13	27	30
18	12	24	30	31	09	02
31	09	05	18	04	17	13
13	27	16	10	08	24	29
03	13	11	23	30	27	26
31	11	15	23	04	26	18
30	03	16	08	23	19	05
02	03	09	20	04	25	13
31	14	19	11	30	10	28
10	14	02	04	11	30	28
05	10	12	03	22	08	27
19	11	08	22	24	28	13
08	29	31	28	12	19	18
27	12	07	23	16	14	26
09	25	18	21	07	13	10
31	06	17	01	08	13	04
29	13	10	17	06	15	03
26	06	20	04	03	10	18
24	11	09	17	28	02	08
21	19	12	06	26	01	22
19	29	17	20	08	06	21
25	04	02	17	19	18	31
30	11	01	19	07	29	21
23	16	04	06	14	24	08
27	08	16	28	18	05	23
01	24	06	12	08	04	30
14	29	21	23	06	13	27
08	26	30	23	19	14	06
19	05	09	30	20	26	17
04	24	15	12	25	22	17
03	28	25	09	17	19	06
23	26	20	07	01	12	10
21	27	26	03	05	17	11
25	22	09	18	30	11	17
14	29	12	17	27	19	30
21	30	04	19	16	01	18
14	02	26	09	29	07	19
18	27	11	05	30	10	28
31	04	11	22	02	24	20
02	24	01	11	19	13	21
07	02	19	13	18	15	25
08	23	12	21	28	25	19
29	01	31	20	14	07	12
21	04	09	02	01	31	17
24	29	23	18	09	21	20
31	13	16	09	18	26	23
07	10	30	14	12	03	27
26	06	29	22	30	24	13
29	22	26	14	24	23	11
12	23	10	06	04	14	03
06	26	02	03	16	08	25
29	07	04	25	14	30	10
20	25	11	17	21	13	23
22	01	25	08	06	04	17
25	21	19	18	22	09	13
11	16	09	08	02	25	29
09	17	21	20	26	22	10
06	03	29	25	15	10	21
10	22	30	26	24	03	31
29	17	14	07	01	12	02
25	01	28	09	11	22	31
21	11	10	06	29	19	13
14	04	19	16	09	24	08
16	18	17	12	22	02	23
28	18	05	01	08	27	19
17	19	27	02	20	25	23
26	19	22	12	10	09	04
20	13	02	18	29	10	09
15	18	31	16	27	17	06
09	22	08	19	31	25	04
02	09	14	28	25	26	05
10	06	24	13	22	29	07
20	09	07	25	15	13	24
26	17	02	06	07	03	29
09	11	28	18	24	02	04
25	12	11	18	09	10	19
15	11	08	30	19	06	01
27	21	02	22	28	26	31
18	07	24	20	28	06	12
23	10	31	09	27	20	29
31	13	17	07	16	03	14
21	11	23	10	17	26	09
27	07	31	26	12	22	08
09	02	30	19	11	31	04
04	18	08	21	16	29	02
23	30	03	10	18	29	02
06	04	29	16	21	10	25
10	22	05	16	26	28	27
24	26	07	16	03	09	01
03	28	11	17	14	29	06
06	28	12	31	26	15	27
13	01	25	15	21	08	06
18	05	24	15	03	17	13
27	11	02	13	19	05	25
23	18	15	04	30	22	01
08	23	12	02	15	19	16
09	25	29	04	28	22	11
17	30	15	20	06	27	10
21	22	20	29	08	31	27
12	02	10	06	19	31	30
07	01	11	09	19	04	27
17	14	11	22	21	18	07
31	10	05	20	24	16	08
25	24	10	28	07	09	21
19	15	20	11	03	08	30
06	22	11	29	18	14	19
12	10	06	11	14	24	18
05	09	25	11	03	20	13
08	16	03	31	30	04	21
17	02	11	16	15	08	13
28	02	07	14	27	04	21
04	25	14	22	11	31	03
26	15	03	19	14	21	02
03	15	08	31	25	12	24
05	19	29	30	13	03	09
09	12	15	25	07	30	03
14	10	11	24	29	13	08
16	14	02	10	26	06	07
22	20	19	08	07	17	26
11	31	29	19	05	24	07
